"","ens_gene_5"
"246","ENSG00000142669"
"247","ENSG00000158062"
"248","ENSG00000169442"
"249","ENSG00000117682"
"250","ENSG00000225891"
"251","ENSG00000198830"
"252","ENSG00000117676"
"253","ENSG00000117713"
"254","ENSG00000060642"
"255","ENSG00000204160"
"256","ENSG00000142751"
"257","ENSG00000198746"
"258","ENSG00000090273"
"259","ENSG00000158246"
"260","ENSG00000090020"
"261","ENSG00000142784"
"262","ENSG00000186501"
"263","ENSG00000241547"
"264","ENSG00000142765"
"265","ENSG00000142733"
"266","ENSG00000181773"
"267","ENSG00000158195"
"268","ENSG00000126705"
"269","ENSG00000000938"
"270","ENSG00000126709"
"271","ENSG00000009780"
"272","ENSG00000117758"
"273","ENSG00000269971"
"274","ENSG00000117751"
"275","ENSG00000252947"
"276","ENSG00000130775"
"277","ENSG00000117748"
"278","ENSG00000158161"
"279","ENSG00000238231"
"280","ENSG00000240750"
"281","ENSG00000228589"
"282","ENSG00000169403"
"283","ENSG00000126698"
"284","ENSG00000130770"
"285","ENSG00000270605"
"286","ENSG00000130766"
"287","ENSG00000130772"
"288","ENSG00000204138"
"289","ENSG00000180198"
"290","ENSG00000242125"
"291","ENSG00000200087"
"292","ENSG00000180098"
"293","ENSG00000197989"
"294","ENSG00000221539"
"295","ENSG00000120656"
"296","ENSG00000162419"
"297","ENSG00000198492"
"298","ENSG00000159023"
"299","ENSG00000225750"
"300","ENSG00000116350"
"301","ENSG00000116353"
"302","ENSG00000186056"
"303","ENSG00000162511"
"304","ENSG00000264773"
"305","ENSG00000134644"
"306","ENSG00000060688"
"307","ENSG00000229447"
"308","ENSG00000121766"
"309","ENSG00000162517"
"310","ENSG00000269967"
"311","ENSG00000184007"
"312","ENSG00000121774"
"313","ENSG00000121775"
"314","ENSG00000025800"
"315","ENSG00000084652"
"316","ENSG00000224066"
"317","ENSG00000160051"
"318","ENSG00000160055"
"319","ENSG00000084623"
"320","ENSG00000116478"
"321","ENSG00000175130"
"322","ENSG00000162526"
"323","ENSG00000225828"
"324","ENSG00000160058"
"325","ENSG00000176261"
"326","ENSG00000162521"
"327","ENSG00000134684"
"328","ENSG00000116497"
"329","ENSG00000116514"
"330","ENSG00000004455"
"331","ENSG00000276645"
"332","ENSG00000116525"
"333","ENSG00000160094"
"334","ENSG00000270115"
"335","ENSG00000134686"
"336","ENSG00000222112"
"337","ENSG00000121903"
"338","ENSG00000163866"
"339","ENSG00000241014"
"340","ENSG00000163867"
"341","ENSG00000197056"
"342","ENSG00000116560"
"343","ENSG00000146463"
"344","ENSG00000229994"
"345","ENSG00000142687"
"346","ENSG00000020129"
"347","ENSG00000116819"
"348","ENSG00000126067"
"349","ENSG00000142686"
"350","ENSG00000092853"
"351","ENSG00000134698"
"352","ENSG00000092847"
"353","ENSG00000126070"
"354","ENSG00000116863"
"355","ENSG00000054116"
"356","ENSG00000116871"
"357","ENSG00000054118"
"358","ENSG00000214193"
"359","ENSG00000142694"
"360","ENSG00000196182"
"361","ENSG00000181817"
"362","ENSG00000116898"
"363","ENSG00000119535"
"364","ENSG00000163874"
"365","ENSG00000163875"
"366","ENSG00000163877"
"367","ENSG00000134697"
"368","ENSG00000116922"
"369","ENSG00000134690"
"370","ENSG00000185090"
"371","ENSG00000196449"
"372","ENSG00000197982"
"373","ENSG00000188786"
"374","ENSG00000204084"
"375","ENSG00000183431"
"376","ENSG00000183386"
"377","ENSG00000183520"
"378","ENSG00000116954"
"379","ENSG00000228436"
"380","ENSG00000214114"
